"disposition_id"	"call_id"	"caller_path"	"caller_package"	"caller_line"	"lexical_callee"	"declaration_id"	"declaration_path"	"declaration_package"	"disposition"	"selected_definition_ids"	"owner"	"recovery_state"	"evidence"
"MVDM-BOUNDARY-00056"	"MVDM-CALL-002241"	"dos/command/cmdredir.c"	"dos"	"602"	"cmdPipeFileDataEOF"	"MVDM-DECL-00078"	"dos/dem/dem.h"	"dos"	"selected-definition-name-observed"	"MVDM-DEF-00183"	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:602; dos/dem/dem.h:256"
"MVDM-BOUNDARY-00057"	"MVDM-CALL-002247"	"dos/command/cmdredir.c"	"dos"	"641"	"cmdPipeFileEOF"	"MVDM-DECL-00079"	"dos/dem/dem.h"	"dos"	"selected-definition-name-observed"	"MVDM-DEF-00184"	"unreviewed"	"unreviewed"	"dos/command/cmdredir.c:641; dos/dem/dem.h:257"
"MVDM-BOUNDARY-00058"	"MVDM-CALL-002253"	"dos/dem/dem.c"	"dos"	"23"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/dem/dem.c:23; inc/softpc.h:132"
"MVDM-BOUNDARY-00059"	"MVDM-CALL-002256"	"dos/dem/dem.c"	"dos"	"42"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/dem/dem.c:42; softpc.new/base/inc/standard.h:83"
"MVDM-BOUNDARY-00060"	"MVDM-CALL-002259"	"dos/dem/dem.c"	"dos"	"68"	"getenv"	"MVDM-DECL-03346"	"softpc.new/base/inc/standard.h"	"softpc.new"	"selected-definition-name-observed"	"MVDM-DEF-09839"	"unreviewed"	"unreviewed"	"dos/dem/dem.c:68; softpc.new/base/inc/standard.h:84"
"MVDM-BOUNDARY-00061"	"MVDM-CALL-002260"	"dos/dem/dem.c"	"dos"	"70"	"getenv"	"MVDM-DECL-03346"	"softpc.new/base/inc/standard.h"	"softpc.new"	"selected-definition-name-observed"	"MVDM-DEF-09839"	"unreviewed"	"unreviewed"	"dos/dem/dem.c:70; softpc.new/base/inc/standard.h:84"
"MVDM-BOUNDARY-00062"	"MVDM-CALL-002281"	"dos/dem/demdasd.c"	"dos"	"145"	"host_direct_access_error"	"MVDM-DECL-00249"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09099"	"unreviewed"	"unreviewed"	"dos/dem/demdasd.c:145; inc/softpc.h:47"
"MVDM-BOUNDARY-00063"	"MVDM-CALL-002342"	"dos/dem/demdasd.c"	"dos"	"456"	"host_direct_access_error"	"MVDM-DECL-00249"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09099"	"unreviewed"	"unreviewed"	"dos/dem/demdasd.c:456; inc/softpc.h:47"
"MVDM-BOUNDARY-00064"	"MVDM-CALL-002360"	"dos/dem/demdasd.c"	"dos"	"513"	"host_simulate"	"MVDM-DECL-03467"	"softpc.new/host/inc/host.h"	"softpc.new"	"selected-definition-name-observed"	"MVDM-DEF-08997;MVDM-DEF-10166"	"unreviewed"	"unreviewed"	"dos/dem/demdasd.c:513; softpc.new/host/inc/host.h:42"
"MVDM-BOUNDARY-00065"	"MVDM-CALL-002367"	"dos/dem/demdasd.c"	"dos"	"532"	"host_simulate"	"MVDM-DECL-03467"	"softpc.new/host/inc/host.h"	"softpc.new"	"selected-definition-name-observed"	"MVDM-DEF-08997;MVDM-DEF-10166"	"unreviewed"	"unreviewed"	"dos/dem/demdasd.c:532; softpc.new/host/inc/host.h:42"
"MVDM-BOUNDARY-00066"	"MVDM-CALL-002383"	"dos/dem/demdasd.c"	"dos"	"652"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/dem/demdasd.c:652; softpc.new/base/inc/standard.h:83"
"MVDM-BOUNDARY-00067"	"MVDM-CALL-002403"	"dos/dem/demdasd.c"	"dos"	"704"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/dem/demdasd.c:704; softpc.new/base/inc/standard.h:83"
"MVDM-BOUNDARY-00068"	"MVDM-CALL-003215"	"dos/dem/demhndl.c"	"dos"	"572"	"cmdPipeFileDataEOF"	"MVDM-DECL-00078"	"dos/dem/dem.h"	"dos"	"selected-definition-name-observed"	"MVDM-DEF-00183"	"unreviewed"	"unreviewed"	"dos/dem/demhndl.c:572; dos/dem/dem.h:256"
"MVDM-BOUNDARY-00069"	"MVDM-CALL-003226"	"dos/dem/demhndl.c"	"dos"	"597"	"cmdPipeFileEOF"	"MVDM-DECL-00079"	"dos/dem/dem.h"	"dos"	"selected-definition-name-observed"	"MVDM-DEF-00184"	"unreviewed"	"unreviewed"	"dos/dem/demhndl.c:597; dos/dem/dem.h:257"
"MVDM-BOUNDARY-00070"	"MVDM-CALL-003266"	"dos/dem/demioctl.c"	"dos"	"206"	"host_direct_access_error"	"MVDM-DECL-00249"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09099"	"unreviewed"	"unreviewed"	"dos/dem/demioctl.c:206; inc/softpc.h:47"
"MVDM-BOUNDARY-00071"	"MVDM-CALL-003409"	"dos/dem/demmisc.c"	"dos"	"172"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/dem/demmisc.c:172; softpc.new/base/inc/standard.h:83"
"MVDM-BOUNDARY-00072"	"MVDM-CALL-003415"	"dos/dem/demmisc.c"	"dos"	"190"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/dem/demmisc.c:190; inc/softpc.h:132"
"MVDM-BOUNDARY-00073"	"MVDM-CALL-003417"	"dos/dem/demmisc.c"	"dos"	"196"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/dem/demmisc.c:196; inc/softpc.h:132"
"MVDM-BOUNDARY-00074"	"MVDM-CALL-003535"	"dos/dem/demmisc.c"	"dos"	"611"	"HostFloppyReset"	"MVDM-DECL-00247"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09463"	"unreviewed"	"unreviewed"	"dos/dem/demmisc.c:611; inc/softpc.h:42"
