symbol	source_root	source_path	source_sha256	source_line	linkage	source	rebase_admission
"DestroyLst"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"110"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"FindLstItem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"140"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"NewLstItem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"206"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"RemoveLstItem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"246"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"CreatePile"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"552"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"DestroyPile"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"572"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"FindPileItem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"627"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"AddPileItem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"688"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"PopPileSubitem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"743"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"CopyHugeBlock"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"843"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"DmgDestroyWindow"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"916"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"AllocDDESel"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdde.c"	"e9b8d0ee1e58cbb1944171704c735d35d8de41a9d366b25db06094be1ce40505"	"156"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
