"edge_id"	"caller_file_id"	"caller_path"	"caller_package"	"source_line"	"delimiter"	"include_spelling"	"textual_resolution"	"resolved_selected_path"	"resolved_selected_package"	"evidence"
"MVDM-INCLUDE-00100"	"MVDM-FILE-0040"	"dos/dem/demdisp.c"	"dos"	"9"	""""	"dem.h"	"selected-mvdm-relative"	"dos/dem/dem.h"	"dos"	"dos/dem/demdisp.c:9"
"MVDM-INCLUDE-00101"	"MVDM-FILE-0040"	"dos/dem/demdisp.c"	"dos"	"10"	"<"	"stdio.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demdisp.c:10"
"MVDM-INCLUDE-00102"	"MVDM-FILE-0040"	"dos/dem/demdisp.c"	"dos"	"11"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demdisp.c:11"
"MVDM-INCLUDE-00103"	"MVDM-FILE-0041"	"dos/dem/demerror.c"	"dos"	"12"	""""	"dem.h"	"selected-mvdm-relative"	"dos/dem/dem.h"	"dos"	"dos/dem/demerror.c:12"
"MVDM-INCLUDE-00104"	"MVDM-FILE-0041"	"dos/dem/demerror.c"	"dos"	"13"	""""	"demmsg.h"	"selected-mvdm-relative"	"dos/dem/demmsg.h"	"dos"	"dos/dem/demerror.c:13"
"MVDM-INCLUDE-00105"	"MVDM-FILE-0041"	"dos/dem/demerror.c"	"dos"	"15"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demerror.c:15"
"MVDM-INCLUDE-00106"	"MVDM-FILE-0042"	"dos/dem/demfcb.c"	"dos"	"19"	""""	"dem.h"	"selected-mvdm-relative"	"dos/dem/dem.h"	"dos"	"dos/dem/demfcb.c:19"
"MVDM-INCLUDE-00107"	"MVDM-FILE-0042"	"dos/dem/demfcb.c"	"dos"	"20"	""""	"demmsg.h"	"selected-mvdm-relative"	"dos/dem/demmsg.h"	"dos"	"dos/dem/demfcb.c:20"
"MVDM-INCLUDE-00108"	"MVDM-FILE-0042"	"dos/dem/demfcb.c"	"dos"	"22"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demfcb.c:22"
"MVDM-INCLUDE-00109"	"MVDM-FILE-0042"	"dos/dem/demfcb.c"	"dos"	"23"	"<"	"winbase.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demfcb.c:23"
"MVDM-INCLUDE-00110"	"MVDM-FILE-0042"	"dos/dem/demfcb.c"	"dos"	"24"	"<"	"mvdm.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demfcb.c:24"
"MVDM-INCLUDE-00111"	"MVDM-FILE-0043"	"dos/dem/demfile.c"	"dos"	"15"	""""	"dem.h"	"selected-mvdm-relative"	"dos/dem/dem.h"	"dos"	"dos/dem/demfile.c:15"
"MVDM-INCLUDE-00112"	"MVDM-FILE-0043"	"dos/dem/demfile.c"	"dos"	"16"	""""	"demmsg.h"	"selected-mvdm-relative"	"dos/dem/demmsg.h"	"dos"	"dos/dem/demfile.c:16"
"MVDM-INCLUDE-00113"	"MVDM-FILE-0043"	"dos/dem/demfile.c"	"dos"	"18"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demfile.c:18"
"MVDM-INCLUDE-00114"	"MVDM-FILE-0043"	"dos/dem/demfile.c"	"dos"	"19"	"<"	"winbase.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demfile.c:19"
"MVDM-INCLUDE-00115"	"MVDM-FILE-0043"	"dos/dem/demfile.c"	"dos"	"20"	"<"	"vrnmpipe.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demfile.c:20"
