"definition_id"	"file_id"	"definition_path"	"package_root"	"source_line"	"lexical_name"	"provenance"	"evidence"
"MVDM-DEF-00127"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"491"	"ModuleFree"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:491"
"MVDM-DEF-00128"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"533"	"SingleStep"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:533"
"MVDM-DEF-00129"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"641"	"Breakpoint"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:641"
"MVDM-DEF-00130"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"753"	"GPFault"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:753"
"MVDM-DEF-00131"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"824"	"except"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:824"
"MVDM-DEF-00132"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"942"	"DivOverflow"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:942"
"MVDM-DEF-00133"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"1054"	"DllStart"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:1054"
"MVDM-DEF-00134"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"1204"	"TaskStop"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:1204"
"MVDM-DEF-00135"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"1361"	"DBGDispatch"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:1361"
"MVDM-DEF-00136"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"1509"	"DBGNotifyNewTask"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:1509"
"MVDM-DEF-00137"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"1689"	"DBGNotifyRemoteThreadAddress"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:1689"
"MVDM-DEF-00138"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"1697"	"DBGNotifyDebugged"	"selected-c-or-cpp-source-lexical-definition"	"dbg/dbg.c:1697"
"MVDM-DEF-00139"	"MVDM-FILE-0018"	"dos/command/cmd.c"	"dos"	"23"	"CMDInit"	"selected-c-or-cpp-source-lexical-definition"	"dos/command/cmd.c:23"
"MVDM-DEF-00140"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"60"	"cmdGetConfigSys"	"selected-c-or-cpp-source-lexical-definition"	"dos/command/cmdconf.c:60"
"MVDM-DEF-00141"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"97"	"cmdGetAutoexecBat"	"selected-c-or-cpp-source-lexical-definition"	"dos/command/cmdconf.c:97"
"MVDM-DEF-00142"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"129"	"DeleteConfigFiles"	"selected-c-or-cpp-source-lexical-definition"	"dos/command/cmdconf.c:129"
"MVDM-DEF-00143"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"161"	"IsConfigCommand"	"selected-c-or-cpp-source-lexical-definition"	"dos/command/cmdconf.c:161"
"MVDM-DEF-00144"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"193"	"ExpandConfigFiles"	"selected-c-or-cpp-source-lexical-definition"	"dos/command/cmdconf.c:193"
