symbol	source_root	source_path	source_sha256	source_line	linkage	source
"host_fdisk_change"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"121"	"externally-linkable"	"P10 seed body"
"high_stretch3"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_graph.c"	"e08e6414c0261656b67a97f839256ee4ba6565f84ce6799197f92b98436131d9"	"1401"	"externally-linkable"	"P10 seed body"
"high_stretch4"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_graph.c"	"e08e6414c0261656b67a97f839256ee4ba6565f84ce6799197f92b98436131d9"	"1422"	"externally-linkable"	"P10 seed body"
"host_flpy_heart_beat"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"509"	"externally-linkable"	"P10 seed body"
"fl_read_SID"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_vflop.c"	"b2766665ecd787cdc9dbabab3c44f25fcd6185d90b221cdd201a159dd77a339d"	"552"	"translation-unit-local"	"P10 seed body"
"DumpTaskInfo"	"O:\repos.external\OpenNT\base\mvdm"	"vdmexts/wow.c"	"385755e94188901161a9e22d63790210f25af014e0a06878655c86f0af856ec4"	"152"	"externally-linkable"	"P10 seed body"
"VrTerminateMailslots"	"O:\repos.external\OpenNT\base\mvdm"	"vdmredir/vrmslot.c"	"70294b72780d3287137310dd4b018b7e572328e1b8bcf9bf4178c32734b95c7c"	"842"	"externally-linkable"	"P10 seed body"
"CreatePile"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"552"	"externally-linkable"	"P10 seed body"
"FarAllocMem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"430"	"externally-linkable"	"P10 seed body"
"DmgCreateHeap"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"337"	"externally-linkable"	"P10 seed body"
"CreateLst"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"89"	"externally-linkable"	"P10 seed body"
"DmgDestroyWindow"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"916"	"externally-linkable"	"P10 seed body"
"UnlinkAppInfo"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"58"	"externally-linkable"	"P10 seed body"
"PopPileSubitem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"743"	"externally-linkable"	"P10 seed body"
